DateObserved,MonthObserved,DayObserved,ParameterName,AQI
2021-02-11,2021-02,11,PM2.5,24
2021-02-12,2021-02,12,OZONE,29
2021-02-12,2021-02,12,PM2.5,11
2021-02-13,2021-02,13,OZONE,30
2021-02-13,2021-02,13,PM2.5,17
2021-02-14,2021-02,14,OZONE,32
2021-02-14,2021-02,14,PM2.5,27
2021-02-15,2021-02,15,OZONE,32
2021-02-15,2021-02,15,PM2.5,13
2021-02-16,2021-02,16,OZONE,34
2021-02-16,2021-02,16,PM2.5,8
2021-02-17,2021-02,17,OZONE,37
2021-02-17,2021-02,17,PM2.5,14
2021-02-18,2021-02,18,OZONE,35
2021-02-18,2021-02,18,PM2.5,28
2021-02-19,2021-02,19,OZONE,33
2021-02-19,2021-02,19,PM2.5,18
2021-02-20,2021-02,20,OZONE,38
2021-02-20,2021-02,20,PM2.5,8
2021-02-21,2021-02,21,OZONE,37
2021-02-21,2021-02,21,PM2.5,10
2021-02-22,2021-02,22,OZONE,35
2021-02-22,2021-02,22,PM2.5,25
2021-02-23,2021-02,23,OZONE,41
2021-02-23,2021-02,23,PM2.5,17
2021-02-24,2021-02,24,OZONE,40
2021-02-24,2021-02,24,PM2.5,18
2021-02-25,2021-02,25,OZONE,39
2021-02-25,2021-02,25,PM2.5,16
2021-02-26,2021-02,26,OZONE,39
2021-02-26,2021-02,26,PM2.5,15
2021-02-27,2021-02,27,OZONE,37
2021-02-27,2021-02,27,PM2.5,11
2021-02-28,2021-02,28,OZONE,38
2021-02-28,2021-02,28,PM2.5,28
2021-03-01,2021-03,1,OZONE,35
2021-03-01,2021-03,1,PM2.5,36
2021-03-02,2021-03,2,OZONE,31
2021-03-02,2021-03,2,PM2.5,51
2021-03-03,2021-03,3,OZONE,37
2021-03-03,2021-03,3,PM2.5,37
2021-03-04,2021-03,4,OZONE,44
2021-03-04,2021-03,4,PM2.5,42
2021-03-05,2021-03,5,OZONE,41
2021-03-05,2021-03,5,PM2.5,37
2021-03-06,2021-03,6,OZONE,41
2021-03-06,2021-03,6,PM2.5,35
2021-03-07,2021-03,7,OZONE,44
2021-03-07,2021-03,7,PM2.5,42
2021-03-08,2021-03,8,OZONE,45
2021-03-08,2021-03,8,PM2.5,41
2021-03-09,2021-03,9,OZONE,41
2021-03-09,2021-03,9,PM2.5,35
2021-03-10,2021-03,10,OZONE,43
2021-03-10,2021-03,10,PM2.5,33
2021-03-11,2021-03,11,OZONE,37
2021-03-11,2021-03,11,PM2.5,25
2021-03-12,2021-03,12,OZONE,44
2021-03-12,2021-03,12,PM2.5,36
2021-03-13,2021-03,13,OZONE,35
2021-03-13,2021-03,13,PM2.5,25
2021-03-14,2021-03,14,OZONE,41
2021-03-14,2021-03,14,PM2.5,21
2021-03-15,2021-03,15,OZONE,45
2021-03-15,2021-03,15,PM2.5,16
2021-03-16,2021-03,16,OZONE,44
2021-03-16,2021-03,16,PM2.5,24
2021-03-17,2021-03,17,OZONE,42
2021-03-17,2021-03,17,PM2.5,43
2021-03-18,2021-03,18,OZONE,44
2021-03-18,2021-03,18,PM2.5,21
2021-03-19,2021-03,19,OZONE,43
2021-03-19,2021-03,19,PM2.5,18
2021-03-20,2021-03,20,OZONE,36
2021-03-20,2021-03,20,PM2.5,19
2021-03-21,2021-03,21,OZONE,39
2021-03-21,2021-03,21,PM2.5,12
2021-03-22,2021-03,22,OZONE,39
2021-03-22,2021-03,22,PM2.5,27
2021-03-23,2021-03,23,OZONE,38
2021-03-23,2021-03,23,PM2.5,36
2021-03-24,2021-03,24,OZONE,42
2021-03-24,2021-03,24,PM2.5,13
2021-03-25,2021-03,25,OZONE,39
2021-03-25,2021-03,25,PM2.5,24
2021-03-26,2021-03,26,OZONE,35
2021-03-26,2021-03,26,PM2.5,27
2021-03-27,2021-03,27,OZONE,42
2021-03-27,2021-03,27,PM2.5,26
2021-03-28,2021-03,28,OZONE,43
2021-03-28,2021-03,28,PM2.5,21
2021-03-29,2021-03,29,OZONE,48
2021-03-29,2021-03,29,PM2.5,39
2021-03-30,2021-03,30,OZONE,43
2021-03-30,2021-03,30,PM2.5,20
2021-03-31,2021-03,31,OZONE,48
2021-03-31,2021-03,31,PM2.5,28
